経緯,けいい,名詞,details; background,"経(ケイ): pass; manage / 緯(イ): horizontal thread"
計画的,けいかくてき,形容動詞,planned; systematic,"計(ケイ): plan / 画(カク): draw / 的(テキ): -like"
軽減,けいげん,名詞,mitigation; reduction,"軽(ケイ): light / 減(ゲン): decrease"
傾向,けいこう,名詞,tendency,"傾(ケイ): lean / 向(コウ): direction"
掲載,けいさい,名詞,publication,"掲(ケイ): put up / 載(サイ): load"
継続,けいぞく,名詞,continuation,"継(ケイ): inherit / 続(ゾク): continue"
結成,けっせい,名詞,formation,"結(ケツ): tie / 成(セイ): form"
決意,けつい,名詞,determination,"決(ケツ): decide / 意(イ): mind"
検討,けんとう,名詞,consideration,"検(ケン): examine / 討(トウ): discuss"
構造,こうぞう,名詞,structure,"構(コウ): construct / 造(ゾウ): make"
効率,こうりつ,名詞,efficiency,"効(コウ): effect / 率(リツ): rate"
混乱,こんらん,名詞,confusion,"混(コン): mix / 乱(ラン): disorder"
採用,さいよう,名詞,adoption; hiring,"採(サイ): pick / 用(ヨウ): use"
再建,さいけん,名詞,reconstruction,"再(サイ): again / 建(ケン): build"
削減,さくげん,名詞,reduction,"削(サク): shave / 減(ゲン): decrease"
作動,さどう,名詞,operation; functioning,"作(サク): make / 動(ドウ): move"
参照,さんしょう,名詞,reference,"参(サン): participate / 照(ショウ): illuminate"
仕組み,しくみ,名詞,mechanism,"仕(シ): serve; do / 組(クミ): assemble"
支持,しじ,名詞,support,"支(シ): support / 持(ジ): hold"
自粛,じしゅく,名詞,self-restraint,"自(ジ): self / 粛(シュク): solemn; austere"
事態,じたい,名詞,situation,"事(ジ): matter / 態(タイ): condition"
実践,じっせん,名詞,practice; implementation,"実(ジツ): real / 践(セン): step on; follow"
失踪,しっそう,名詞,disappearance,"失(シツ): lose / 踪(ソウ): trace"
指摘,してき,名詞,pointing out,"指(シ): finger / 摘(テキ): pick"
支配,しはい,名詞,domination; control,"支(シ): support / 配(ハイ): distribute; control"
資源,しげん,名詞,resources,"資(シ): resources / 源(ゲン): source"
事例,じれい,名詞,case; example,"事(ジ): matter / 例(レイ): example"
終始,しゅうし,名詞,beginning to end,"終(シュウ): end / 始(シ): begin"
従来,じゅうらい,名詞,traditional; conventional,"従(ジュウ): follow / 来(ライ): come"
重要視,じゅうようし,名詞,emphasis,"重(ジュウ): heavy / 要(ヨウ): essential / 視(シ): view"
出生,しゅっしょう,名詞,birth,"出(シュツ): exit / 生(ショウ): birth"
処理,しょり,名詞,processing,"処(ショ): manage / 理(リ): logic"
所有,しょゆう,名詞,ownership,"所(ショ): place / 有(ユウ): exist"
進展,しんてん,名詞,progress; development,"進(シン): advance / 展(テン): unfold"
信頼,しんらい,名詞,trust,"信(シン): trust / 頼(ライ): rely"
診断,しんだん,名詞,diagnosis,"診(シン): check / 断(ダン): cut; decide"
推移,すいい,名詞,transition; change,"推(スイ): infer / 移(イ): move"
遂行,すいこう,名詞,execution; accomplishment,"遂(スイ): accomplish / 行(コウ): go"
随時,ずいじ,副詞,as needed; at any time,"随(ズイ): follow / 時(ジ): time"
接触,せっしょく,名詞,contact,"接(セツ): touch / 触(ショク): touch"
設置,せっち,名詞,installation,"設(セツ): establish / 置(チ): place"
潜在,せんざい,名詞,latent; potential,"潜(セン): hide / 在(ザイ): exist"
先端,せんたん,名詞,cutting edge,"先(セン): ahead / 端(タン): edge"
創造,そうぞう,名詞,creation,"創(ソウ): create / 造(ゾウ): make"
相当,そうとう,名詞,considerable; appropriate,"相(ソウ): mutual / 当(トウ): hit"
促進,そくしん,名詞,promotion; facilitation,"促(ソク): urge / 進(シン): advance"
損失,そんしつ,名詞,loss,"損(ソン): damage / 失(シツ): lose"
対処,たいしょ,名詞,handling; dealing with,"対(タイ): oppose / 処(ショ): manage"
対等,たいとう,名詞,equality,"対(タイ): oppose / 等(トウ): equal"
退場,たいじょう,名詞,exit; leaving,"退(タイ): retreat / 場(ジョウ): place"
多様性,たようせい,名詞,diversity,"多(タ): many / 様(ヨウ): manner / 性(セイ): nature"
妥協,だきょう,名詞,compromise,"妥(ダ): proper / 協(キョウ): cooperate"
打開,だかい,名詞,breakthrough,"打(ダ): strike / 開(カイ): open"
着手,ちゃくしゅ,名詞,commencement,"着(チャク): arrive; wear / 手(シュ): hand"
調整,ちょうせい,名詞,adjustment,"調(チョウ): adjust / 整(セイ): arrange"
直面,ちょくめん,名詞,confrontation,"直(チョク): direct / 面(メン): face"
追放,ついほう,名詞,banishment; expulsion,"追(ツイ): chase / 放(ホウ): release"
追加,ついか,名詞,addition,"追(ツイ): chase / 加(カ): add"
通達,つうたつ,名詞,notification,"通(ツウ): pass / 達(タツ): reach"
停滞,ていたい,名詞,stagnation,"停(テイ): stop / 滞(タイ): stagnate"
適応,てきおう,名詞,adaptation,"適(テキ): suitable / 応(オウ): respond"
撤退,てったい,名詞,withdrawal,"撤(テツ): remove / 退(タイ): retreat"
展望,てんぼう,名詞,prospect; view,"展(テン): unfold / 望(ボウ): hope; look"
当面,とうめん,名詞,for the time being,"当(トウ): hit / 面(メン): face"
統一,とういつ,名詞,unification,"統(トウ): govern / 一(イツ): one"
投入,とうにゅう,名詞,investment; input,"投(トウ): throw / 入(ニュウ): enter"
到達,とうたつ,名詞,arrival; attainment,"到(トウ): reach / 達(タツ): accomplish"
独自,どくじ,名詞,unique; original,"独(ドク): alone / 自(ジ): self"
独占,どくせん,名詞,monopoly,"独(ドク): alone / 占(セン): occupy"
努力,どりょく,名詞,effort,"努(ド): strive / 力(リョク): power"
内訳,うちわけ,名詞,breakdown; itemization,"内(ナイ): inside / 訳(ヤク): translation; reason"
難航,なんこう,名詞,difficulty; rough going,"難(ナン): difficult / 航(コウ): navigate"
妨害,ぼうがい,名詞,obstruction; interference,"妨(ボウ): disturb / 害(ガイ): harm"
防止,ぼうし,名詞,prevention,"防(ボウ): defend / 止(シ): stop"
紛失,ふんしつ,名詞,loss,"紛(フン): distract; lose / 失(シツ): lose"
分担,ぶんたん,名詞,division of labor,"分(ブン): divide / 担(タン): bear"
平和,へいわ,名詞,peace,"平(ヘイ): flat; calm / 和(ワ): harmony"
並行,へいこう,名詞,parallel; simultaneous,"並(ヘイ): line up / 行(コウ): go"
返却,へんきゃく,名詞,return,"返(ヘン): return / 却(キャク): reject"
包括,ほうかつ,名詞,inclusion; comprehensiveness,"包(ホウ): wrap / 括(カツ): fasten"
補給,ほきゅう,名詞,replenishment,"補(ホ): supplement / 給(キュウ): supply"
誇張,こちょう,名詞,exaggeration,"誇(コ): boast / 張(チョウ): stretch"
本質,ほんしつ,名詞,essence,"本(ホン): main / 質(シツ): quality"
防犯,ぼうはん,名詞,crime prevention,"防(ボウ): defend / 犯(ハン): crime"
満了,まんりょう,名詞,expiration; completion,"満(マン): full / 了(リョウ): finish"
密接,みっせつ,名詞,close relationship,"密(ミツ): dense / 接(セツ): touch"
目撃,もくげき,名詞,eyewitnessing,"目(モク): eye / 撃(ゲキ): strike"
要請,ようせい,名詞,request; demand,"要(ヨウ): need / 請(セイ): request"
抑制,よくせい,名詞,suppression; restraint,"抑(ヨク): restrain / 制(セイ): control"
了承,りょうしょう,名詞,acknowledgement; consent,"了(リョウ): finish / 承(ショウ): receive"
領域,りょういき,名詞,domain; territory,"領(リョウ): territory / 域(イキ): region"
両立,りょうりつ,名詞,coexistence; compatibility,"両(リョウ): both / 立(リツ): stand"
論争,ろんそう,名詞,controversy; dispute,"論(ロン): argument / 争(ソウ): conflict"
